Count	Name	Contents	Position X	Position Y
1	MText	-	-957886464.22	-440758103.05
1	MText	-	-957886464.22	-440757518.27
1	MText	-	-957886464.22	-440756933.48
1	MText	EPOXID.STIERKA/NÁTER	-957886464.22	-440754009.54
1	MText	1.12	-957887211.98	-440765705.29
1	MText	1.12	-957887211.98	-440765120.50
1	MText	8.24	-957887211.98	-440764535.71
1	MText	0.95	-957887211.98	-440766290.08
1	MText	EPOXID.STIERKA/NÁTER	-957886464.22	-440753424.75
1	MText	KOBEREC K1/KAMEN.DL.	-957886464.22	-440752839.97
1	MText	965.91	-957887211.98	-440766874.86
