"CombPer","Cap","IWB","ODB","TotCap","Power"
110.0,53.9,18.0,4.1,54.1,14.2
110.0,53.9,18.0,6.0,56.8,14.5
110.0,53.9,18.0,7.9,59.6,14.8
110.0,53.9,18.0,9.8,62.5,15.0
110.0,53.9,18.0,11.8,65.7,15.3
110.0,53.9,18.0,13.7,66.1,14.6
110.0,53.9,20.0,-15.0,34.0,11.0
110.0,53.9,20.0,-13.0,35.5,11.4
110.0,53.9,20.0,-11.0,37.2,11.8
110.0,53.9,20.0,-10.0,38.0,12.0
110.0,53.9,20.0,-9.1,38.8,12.2
110.0,53.9,20.0,-7.6,40.3,12.5
110.0,53.9,20.0,-5.6,42.3,12.8
110.0,53.9,20.0,-3.7,44.3,13.2
110.0,53.9,20.0,-0.7,47.8,13.7
110.0,53.9,20.0,2.2,51.4,14.2
110.0,53.9,20.0,4.1,54.0,14.5
110.0,53.9,20.0,6.0,56.7,14.8
110.0,53.9,20.0,7.9,59.5,15.1
110.0,53.9,20.0,9.8,62.2,15.3
110.0,53.9,20.0,11.8,62.2,14.4
110.0,53.9,20.0,13.7,62.2,13.6
110.0,53.9,21.0,-15.0,34.0,11.2
110.0,53.9,21.0,-13.0,35.5,11.6
110.0,53.9,21.0,-11.0,37.1,12.0
110.0,53.9,21.0,-10.0,38.0,12.2
110.0,53.9,21.0,-9.1,38.8,12.4
110.0,53.9,21.0,-7.6,40.2,12.7
110.0,53.9,21.0,-5.6,42.2,13.1
110.0,53.9,21.0,-3.7,44.3,13.4
110.0,53.9,21.0,-0.7,47.7,13.9
110.0,53.9,21.0,2.2,51.4,14.4
110.0,53.9,21.0,4.1,53.9,14.7
110.0,53.9,21.0,6.0,56.6,15.0
110.0,53.9,21.0,7.9,59.4,15.2
110.0,53.9,21.0,9.8,60.2,14.7
110.0,53.9,21.0,11.8,60.2,13.8
110.0,53.9,21.0,13.7,60.2,13.1
110.0,53.9,22.0,-15.0,33.9,11.5
110.0,53.9,22.0,-13.0,35.4,11.9
110.0,53.9,22.0,-11.0,37.1,12.3
110.0,53.9,22.0,-10.0,37.9,12.5
110.0,53.9,22.0,-9.1,38.7,12.7
110.0,53.9,22.0,-7.6,40.2,12.9
110.0,53.9,22.0,-5.6,42.2,13.3
110.0,53.9,22.0,-3.7,44.2,13.6
110.0,53.9,22.0,-0.7,47.7,14.2
110.0,53.9,22.0,2.2,51.3,14.6
110.0,53.9,22.0,4.1,53.9,14.9
110.0,53.9,22.0,6.0,56.5,15.2
110.0,53.9,22.0,7.9,58.2,14.9
110.0,53.9,22.0,9.8,58.2,14.1
110.0,53.9,22.0,11.8,58.2,13.3
110.0,53.9,22.0,13.7,58.2,12.6
110.0,53.9,24.0,-15.0,33.8,12.1
110.0,53.9,24.0,-13.0,35.3,12.5
110.0,53.9,24.0,-11.0,36.9,12.8
110.0,53.9,24.0,-10.0,37.8,13.0
110.0,53.9,24.0,-9.1,38.6,13.2
110.0,53.9,24.0,-7.6,40.0,13.4
110.0,53.9,24.0,-5.6,42.1,13.8
110.0,53.9,24.0,-3.7,44.1,14.1
110.0,53.9,24.0,-0.7,47.6,14.6
110.0,53.9,24.0,2.2,51.2,15.0
110.0,53.9,24.0,4.1,53.8,15.3
110.0,53.9,24.0,6.0,54.2,14.5
110.0,53.9,24.0,7.9,54.2,13.7
110.0,53.9,24.0,9.8,54.2,13.0
110.0,53.9,24.0,11.8,54.2,12.2
110.0,53.9,24.0,13.7,54.2,11.6
100.0,49.0,16.0,-15.0,34.1,10.7
100.0,49.0,16.0,-13.0,35.6,11.1
100.0,49.0,16.0,-11.0,37.2,11.6
100.0,49.0,16.0,-10.0,38.1,11.8
100.0,49.0,16.0,-9.1,38.9,12.0
100.0,49.0,16.0,-7.6,40.3,12.3
100.0,49.0,16.0,-5.6,42.3,12.7
100.0,49.0,16.0,-3.7,44.4,13.0
100.0,49.0,16.0,-0.7,47.8,13.6
100.0,49.0,16.0,2.2,51.5,14.1
100.0,49.0,16.0,4.1,54.0,14.4
100.0,49.0,16.0,6.0,56.7,14.7
100.0,49.0,16.0,7.9,59.5,14.9
100.0,49.0,16.0,9.8,62.4,15.2
100.0,49.0,16.0,11.8,63.8,14.8
100.0,49.0,16.0,13.7,63.8,14.0
100.0,49.0,18.0,-15.0,34.0,11.3
100.0,49.0,18.0,-13.0,35.5,11.7
100.0,49.0,18.0,-11.0,37.1,12.0
100.0,49.0,18.0,-10.0,38.0,12.2
100.0,49.0,18.0,-9.1,38.8,12.4
100.0,49.0,18.0,-7.6,40.2,12.7
100.0,49.0,18.0,-5.6,42.2,13.1
100.0,49.0,18.0,-3.7,44.3,13.4
100.0,49.0,18.0,-0.7,47.7,13.9
100.0,49.0,18.0,2.2,51.4,14.4
100.0,49.0,18.0,4.1,53.9,14.7
100.0,49.0,18.0,6.0,56.6,15.0
100.0,49.0,18.0,7.9,59.4,15.2
100.0,49.0,18.0,9.8,60.1,14.7
100.0,49.0,18.0,11.8,60.1,13.8
100.0,49.0,18.0,13.7,60.1,13.1
100.0,49.0,20.0,-15.0,33.9,11.8
100.0,49.0,20.0,-13.0,35.4,12.2
100.0,49.0,20.0,-11.0,37.0,12.5
100.0,49.0,20.0,-10.0,37.9,12.7
100.0,49.0,20.0,-9.1,38.7,12.9
100.0,49.0,20.0,-7.6,40.1,13.2
100.0,49.0,20.0,-5.6,42.1,13.5
100.0,49.0,20.0,-3.7,44.2,13.8
100.0,49.0,20.0,-0.7,47.6,14.3
100.0,49.0,20.0,2.2,51.3,14.8
100.0,49.0,20.0,4.1,53.8,15.0
100.0,49.0,20.0,6.0,56.5,14.4
100.0,49.0,20.0,7.9,56.5,13.6
100.0,49.0,20.0,9.8,56.5,12.9
100.0,49.0,20.0,11.8,56.5,12.2
100.0,49.0,21.0,-15.0,33.8,12.0
